Symptom_CUI	Symptom_Name	Alias	Definition	External_Ids
C1384666	Decreased hearing	Decreased hearing|Decreased hearing (finding)|Difficulty hearing|HEARING DECREASED|HEARING IMPAIRED|HEARING IMPAIRMENT|HEARING LOSS|HEARING REDUCED|HI - Hearing impairment|HL - Hearing loss|HOH - Hard of hearing|Hard of hearing|Hearing Impairment|Hearing Loss|Hearing Loss [Disease/Finding]|Hearing decreased|Hearing defect|Hearing deficit|Hearing impaired|Hearing impairment|Hearing loss|Hearing loss (disorder)|Hearing loss (finding)|Hearing loss, NOS|Hearing loss, unspecified|Hearing losses|Hearing reduced|Hypoacuses|Hypoacusis|Impaired hearing|Impairment, Hearing|Impairment;hearing|Loss (of);hearing|Loss of hearing|Loss, Hearing|Unspecified hearing loss|decreased hearing|defect; hearing|hard of hearing|hearing impaired|hearing impairment|hearing impairments|hearing loss|hearing loss (diagnosis)|hearing; defect|hearing; loss|impaired hearing|loss of hearing|loss of hearing (symptom)|loss; hearing	HPO2016_07_04:A decreased magnitude of the sensory perception of sound. [HPO:probinson]|MSH2017_2016_08_12:A general term for the complete or partial loss of the ability to hear from one or both ears.|NCI2016_02D:Partial or complete loss of the ability to detect or understand sounds resulting from damage to the outer, middle, or inner ear structures. Causes include exposure to loud noise, ear infections, injuries to the ear, genetic, and congenital disorders.|NCI2016_CTCAE_1602D:A disorder characterized by partial or complete loss of the ability to detect or understand sounds resulting from damage to ear structures.|	HPO2016_07_04:HP:0000365|ICD10CM_2017:H91.9|ICD9CM_2014:389|ICD9CM_2014:389.9|MSH2017_2016_08_12:D034381|OMIM2016_04_17:MTHU022947|OMIM2016_04_17:MTHU036353|OMIM2016_04_17:MTHU038541|SNOMEDCT_US_2016_09_01:103276001|SNOMEDCT_US_2016_09_01:111543003|SNOMEDCT_US_2016_09_01:15188001|SNOMEDCT_US_2016_09_01:155242002|SNOMEDCT_US_2016_09_01:155254002|SNOMEDCT_US_2016_09_01:194411005|SNOMEDCT_US_2016_09_01:267764005|CSSO:CSSO_000095
C2108884	Joint pain in right middle toe	joint pain in right middle toe|joint pain in right middle toe (symptom)		
C1399274	Hematogenous; shock	hematogenous; shock|shock; hematogenous		
C4084806	Lack of appetite	How Much Distress Lack of Appetite|Lack of appetite	NCI2016_02D:A question about an individual's distress from their lack of appetite.|	SO:SYMP_0000309|CSSO:CSSO_000061
C2728877	Flatus foul-smelling	flatus foul-smelling|foul-smelling flatus|foul-smelling flatus (symptom)		
C0877018	Pituitary enlargement	Pituitary enlargement|Pituitary gland enlargement		
C0587051	Lumbar mass	Lumbar mass|Lumbar mass (finding)|lumbar mass		SNOMEDCT_US_2016_09_01:309528005
C2031179	Hip pain worse with weightbearing	hip pain worse with weightbearing|hip pain worse with weightbearing (symptom)		
C1397829	Frequency; micturition, and painful	frequency; micturition, and painful|micturition; frequency and painful		
C3694918	Difficulty swallowing sudden unexplained change	difficulty swallowing sudden unexplained change|difficulty swallowing sudden unexplained change (symptom)		
C0741401	Back pain uncertain etiology	BACK PAIN UNCERTAIN ETIOLOGY		
C2130195	Burning sensation between fourth and fifth toes of left foot	burning sensation between fourth and fifth toes of left foot|burning sensation between fourth and fifth toes of left foot (symptom)		
C2037135	Sudden loss of vision in temporal half of visual field	sudden loss of vision in temporal half of visual field|sudden loss of vision in temporal half of visual field (symptom)|sudden loss temporal vision|sudden onset of temporal visual field defect|temporal visual field defect, sudden onset		
C2032417	Sudden pain in right calf	sudden pain in right calf|sudden pain in right calf (symptom)		
C2109142	Right third mtp swelling	right third MTP swelling|swelling of MTP joint in right middle toe|swelling of metatarsophalangeal joint of middle toe of right foot|swelling of metatarsophalangeal joint of middle toe of right foot (symptom)		
C2073370	Chest pain starting when in a cold environment	chest pain starting when in a cold environment|chest pain starting when in a cold environment (symptom)		
C2126206	Elbow joint pain when actively moved	elbow joint pain when actively moved|elbow joint pain when actively moved (symptom)		
C0741396	Back pain mid back	BACK PAIN MID BACK|back mid pain|back mid pains|back pain mid back|mid back pain|pain mid back		
C0559753	Daytime enuresis	Daytime enuresis|Daytime enuresis (finding)		SNOMEDCT_US_2016_09_01:162123002|SNOMEDCT_US_2016_09_01:281862002
C0423698	Pain in amputated limb	Pain in amputated limb|Pain in amputated limb (finding)		SNOMEDCT_US_2016_09_01:247379007
C2220245	Worsening near vision after prescription change	worsening near vision after prescription change|worsening near vision after prescription change (symptom)|worsening vision after prescription change for near vision|worsening vision started after prescription change for near vision		
C0521762	Positional nystagmus, variable eye direction	Positional nystagmus, variable eye direction|Positional nystagmus, variable eye direction (disorder)		SNOMEDCT_US_2016_09_01:95788002
C1960990	Pain radiating to right arm	Pain radiating to right arm|Pain radiating to right arm (finding)		SNOMEDCT_US_2016_09_01:426803004
C2038641	Swelling of finger joints of both hands	swelling of finger joints of both hands|swelling of finger joints of both hands (symptom)		
C2126116	Urinary incontinence with loc	urinary incontinence with LOC|urinary incontinence with loss of consciousness|urinary incontinence with loss of consciousness (symptom)		
C2032741	Mouth sore painless	mouth sore painless|painless mouth sore|painless mouth sore (symptom)		
C2880347	Corneal deposits in metabolic disorders, unspecified eye	Corneal deposits in metabolic disorders, unspecified eye		ICD10CM_2017:H18.039
C1540708	(myalgia: [unspecified] or [intercostal myalgia]) or (muscle pain)	(Myalgia: [unspecified] or [intercostal myalgia]) or (muscle pain)|(Myalgia: [unspecified] or [intercostal myalgia]) or (muscle pain) (disorder)		SNOMEDCT_US_2016_09_01:203109002
C0235999	Neck pain shoulder	PAIN NECK/SHOULDER|Pain neck/shoulder|neck pain shoulder|neck pain shoulders|neck shoulder pain|pain neck shoulder|pain neck/shoulder|pain shoulder neck|shoulder neck pain		
C2183884	Recurrent limb weakness	recurrent limb weakness|recurrent weakness in limb|recurrent weakness in limb (symptom)		
C2129261	Lower back pain radiating to medial aspect of left ankle	lower back pain radiating to medial aspect of left ankle|lower back pain radiating to medial aspect of left ankle (symptom)|lower back pain radiating to the medial left ankle		
C0231806	Dyspnea, class 4	Dyspnea, class 4|Dyspnea, class IV|Dyspnea, class IV (finding)|Dyspnoea, class 4|Dyspnoea, class IV		SNOMEDCT_US_2016_09_01:73322006
C0877063	Venipuncture site pain	Venipuncture site pain		
C0853986	Lymphocytes decreased	Decreased blood lymphocyte count|Decreased blood lymphocyte count (finding)|Decreased lymphocytes|LYMPHOCYTES DECREASED|Lymphocyte count decreased|Lymphocyte count decreased (lab test)|Lymphocyte count low|Lymphocytes decreased below normal range|Lymphocytopenia|Lymphopenia|count low lymphocyte|count low lymphocytes|counts low lymphocyte|decreased lymphocyte count|hematology nonspecific abnormal findings lymphocyte count decreased|low lymphocyte count|lymphocyte count decreased|lymphocytes decreased|lymphocytic leukopenia|lymphocytopenia|lymphopenia	NCI2016_02D:An abnormally small number of lymphocytes in the circulating blood.|NCI2016_CTCAE_1602D:A finding based on laboratory test results that indicate a decrease in number of lymphocytes in a blood specimen.|NCI2016_NCI-GLOSS_1602D:A condition in which there is a lower-than-normal number of lymphocytes (a type of white blood cell) in the blood.|NCI2016_NICHD_1602D:Abnormally low level of circulating lymphocytes in the blood.|	SO:SYMP_0000086
C2128352	Difficulty walking on uneven surfaces	difficulty walking on uneven surfaces|difficulty walking on uneven surfaces (symptom)		
C2017104	Soft tissue pain in the right middle finger middle phalanx along the extensor surface	soft tissue pain in the right middle finger middle phalanx along the extensor surface|soft tissue pain of extensor surface of mid phalanx of middle finger of right hand|soft tissue pain of extensor surface of mid phalanx of middle finger of right hand (symptom)		
C2028334	Hair piercing skin	hair piercing skin|hair piercing skin (symptom)		
C0848761	Impairment;genital;f	Impairment;genital;F|female genital impairment		
C0240877	Rectal tenderness	RECTAL TENDERNESS|rectal tenderness|rectal tenderness (physical finding)		
C2012576	Grating sensation in right shoulder	grating sensation in right shoulder|grating sensation in right shoulder (symptom)		
C2127104	Diarrhea throughout day	diarrhea throughout day|diarrhea throughout day (symptom)		
C4049317	Abnormal precordial movement	Abnormal precordial movement		
C0858583	Head numbness	Numbness of head|head numbness|numbness head|numbness of head		
C2128685	Soft tissue swelling of right ring finger along ulnar side	soft tissue swelling of right ring finger along ulnar side|soft tissue swelling of right ring finger along ulnar side (symptom)|ulnar right ring finger soft tissue swelling		
C2220120	Bone pain in right hand	bone pain in right hand|bone pain in right hand (symptom)|right hand bone pain		
C0858235	Swelling (l) testicle	Swelling (l) testicle		
C3836206	Redness of both outer lower eyelids	redness of both outer lower eyelids|redness of both outer lower eyelids (symptom)		
C0740617	Abdomen ruq pain exercise	ABDOMEN RUQ PAIN EXERCISE		
C2128587	Left second toe soft tissue swelling at the base	left second toe soft tissue swelling at the base|soft tissue swelling at base of left second toe|soft tissue swelling at base of left second toe (symptom)		
C0497131	Bleeding hemorrhage	Bleeding site unspecified|Bleeding/haemorrhage nos|bleeding hemorrhage|bleeding/hemorrhage nos|hemorrhage bleeding		
C2233575	Ethmoid sinus pressure on left	ethmoid sinus pressure on left|ethmoid sinus pressure on left (symptom)|ethmoid sinus pressure on the left		
C3178766	Nociceptive pain	Nociceptive Pain|Nociceptive Pain [Disease/Finding]|Nociceptive Pains|Pain, Nociceptive|Pains, Nociceptive	MSH2017_2016_08_12:Dull or sharp aching pain caused by stimulated NOCICEPTORS due to tissue injury, inflammation or diseases. It can be divided into somatic or tissue pain and VISCERAL PAIN.|	MSH2017_2016_08_12:D059226|SO:SYMP_0000831
C2073259	Chest pain below right clavicle	chest pain below right clavicle|chest pain below right clavicle (symptom)|chest pain below the right clavicle		
C2109136	Right fifth mtp swelling	right fifth MTP swelling|swelling of MTP joint in right little toe|swelling of metatarsophalangeal joint of little toe of right foot|swelling of metatarsophalangeal joint of little toe of right foot (symptom)		
C0392389	Fever, catarrhal, acute	FEVER, CATARRHAL, ACUTE		
C2008823	Frequent weight changes of 1.8 or more kgs a week	frequent weight changes of 1.8 or more kgs a week|frequent weight changes of 4 or more lbs a week|frequent weight changes of 4 or more pounds a week|frequent weight changes of 4 pounds (1.8 kg) or more a week|frequent weight changes of 4 pounds (1.8 kg) or more a week (symptom)		
C0597925	Mobile spasm	mobile spasm		
C2232005	Skin crust on right upper arm	skin crust on right upper arm|skin crust on right upper arm (symptom)		
C2108731	Joint pain in left great toe precipitated by rainy weather	joint pain in left great toe precipitated by rainy weather|joint pain in left great toe precipitated by rainy weather (symptom)|left great toe joint pain precipitated by rainy weather		
C0520589	Vulvovaginal dryness	Vulvovaginal dryness|Vulvovaginal dryness (disorder)		SNOMEDCT_US_2016_09_01:58635009
C2037189	Sudden onset of cold toes of both feet	sudden onset of cold toes of both feet|sudden onset of cold toes of both feet (symptom)		
C2126985	Binocular epiphora	binocular epiphora|epiphora on both sides|epiphora on both sides (symptom)|excessive tearing in both eyes|excessive tearing on both sides|overflow of tears in both eyes|overflow of tears on both sides		
C2017774	Intermittent sore throat	intermittent sore throat|sore throat comes and goes|sore throat comes and goes (symptom)		
C0563234	Painful tooth socket	Painful tooth socket|Painful tooth socket (finding)		SNOMEDCT_US_2016_09_01:285339000
C0861160	Sticky discharge from eye	Sticky discharge from eye		
C0231638	Gaenslen sign	Gaenslen sign|Gaenslen's sign|Gaenslen's sign (finding)		SNOMEDCT_US_2016_09_01:31647004
C2219882	Sense of time moving slower or faster than real	sense of time moving slower or faster than real|sense of time moving slower or faster than real (symptom)		
C0747250	Paraparesis new onset	PARAPARESIS NEW ONSET		
C2232249	Skin crust of top of right foot	skin crust of top of right foot|skin crust of top of right foot (symptom)		
C2127171	Worsening distance and near vision in right eye	worsening distance and near vision in right eye|worsening distance and near vision in right eye (symptom)|worsening distance and near vision in the right eye|worsening distance and near vision right		
C0877384	Lip pale	Pale lips|lip pale|lip pale (physical finding)		
C2116449	Tingling of middle finger of right hand	tingling of middle finger of right hand|tingling of middle finger of right hand (symptom)		
C2198899	Dizziness upon rolling over	dizziness upon rolling over|dizziness upon rolling over (symptom)		
C2129635	Unable to control passing gas	unable to control passing gas|unable to control passing gas (symptom)		
C2127760	Right little finger 'catches' during movement	right little finger 'catches' during movement|right little finger 'catches' during movement (symptom)|the right little finger 'catches' during movement		
C2114320	Premature contractions	Premature contractions|pre-term contractions|premature contractions|preterm contractions|preterm contractions (symptom)		ICD10CM_2017:I49.49
C2032135	Pain immediately below both knees	pain immediately below both knees|pain immediately below both knees (symptom)		
C2073376	Chest pain made worse by coughing	chest pain made worse by coughing|chest pain worse with coughing|chest pain worse with coughing (symptom)		
C2128114	Dip joint of right fourth toe feels 'out of place'	DIP joint of right fourth toe feels 'out of place'|distal interphalangeal joint of right fourth toe feels 'out of place'|distal interphalangeal joint of right fourth toe feels 'out of place' (symptom)|right fourth toe DIP feels 'out of place'|the right fourth toe DIP feels 'out of place'		
C2220087	Bilateral neck pain	bilateral neck pain|bilateral neck pain (symptom)|neck pain bilateral|neck pain on both sides|pain in both sides of neck		
